,model_type,dataset,gradient_accumulation_steps,conv1_t_stride,learning_rate,no_max_pool,label_smoothing,bn_size,batch_size,model,widen_factor,act,resnet_type,growth_rate,dropout_prob,warmup_epochs,scheduler_type,weight_decay,mixup_alpha,remove_last_block,optimizer_type,conv1_t_size,densenet_type,init_features
1,,liver,1,,0.0001157107826,,0.0943147039173,4.0,1,densenet,,leakyrelu,,26.0,0.2459345974086,2,warmup,0.0008387864992,0.2130333066856,True,sgd,,densenet121,64.0
2,,liver,2,2.0,0.0029784223443,True,0.0167899916807,,3,resnet,1.4133519891298,gelu,resnet18,,,0,cosine_warmup,2.9521152e-06,0.2077072393235,,adam,5.0,,
3,,liver,1,1.0,0.0001191656287,True,0.157564684576,,2,resnet,1.4897838277086,relu,resnet18,,,2,warmup,3.12220173e-05,0.3552117521792,,adam,3.0,,
4,,liver,1,,0.0034235459731,,0.037474533661,3.0,2,densenet,,gelu,,14.0,0.2403596273042,5,warmup,0.0002191368867,0.3070288921647,False,adamw,,densenet121,47.0
5,,liver,2,,0.0002247051063,,0.1520050522236,2.0,4,densenet,,relu,,21.0,0.1476221420525,1,cosine_warmup,1.1314941e-06,0.3192689709421,True,sgd,,densenet121,53.0
6,,liver,2,,8.53384597e-05,,0.0742285001798,1.0,3,densenet,,relu,,20.0,0.2981538556687,5,cosine_warmup,1.37766005e-05,0.1257045356839,False,sgd,,densenet201,40.0
7,,liver,1,,0.0003481488826,,0.1802632916691,3.0,4,densenet,,gelu,,17.0,0.2677416596838,2,cosine_warmup,0.0003199601786,0.2698837465293,False,sgd,,densenet169,18.0
8,,liver,2,2.0,0.0003991126909,False,0.1146318174986,,3,resnet,1.5676297174442,relu,resnet50,,,3,cosine_warmup,3.25053346e-05,0.1706867847874,,adamw,3.0,,
9,,liver,1,1.0,0.0022870544001,True,0.1196012943164,,1,resnet,1.324622608049,leakyrelu,resnet34,,,2,cosine_warmup,9.6813973e-06,0.2805890504291,,adam,5.0,,
10,,liver,2,,3.83651366e-05,,0.0802815422317,1.0,3,densenet,,leakyrelu,,15.0,0.2766689483057,5,cosine_warmup,0.0006000089413,0.2369298263155,False,sgd,,densenet169,61.0
11,,liver,1,1.0,0.0020782794493,True,0.1436222126802,,1,resnet,1.0041570752524,leakyrelu,resnet50,,,2,warmup,2.34845934e-05,0.3366277519634,,adam,5.0,,
12,,liver,2,2.0,9.5254126e-05,False,0.0698894310446,,1,resnet,1.9938460605298,relu,resnet18,,,4,warmup,4.62806843e-05,0.3430660553879,,adamw,4.0,,
13,,liver,2,1.0,2.04415776e-05,False,0.053031700696,,1,resnet,1.715208503858,relu,resnet34,,,3,warmup,4.05332986e-05,0.179422207517,,sgd,4.0,,
14,,liver,1,2.0,5.0881452e-05,False,0.0219098641709,,4,resnet,1.707515591331,leakyrelu,resnet18,,,4,warmup,1.37293857e-05,0.0020330015214,,adam,6.0,,
15,,liver,2,,0.001810776278,,0.1390941851131,3.0,1,densenet,,gelu,,22.0,0.1429167680469,1,warmup,4.90192767e-05,0.2804497516772,True,sgd,,densenet201,29.0
16,,liver,1,,0.0026233597086,,0.1247583040315,4.0,2,densenet,,relu,,26.0,0.281178606463,5,cosine_warmup,2.40592001e-05,0.1690188821557,False,sgd,,densenet121,47.0
17,,liver,2,2.0,1.05115386e-05,False,0.0575332141462,,3,resnet,1.2020685462039,relu,resnet18,,,2,cosine_warmup,8.1027562e-06,0.0508860237058,,sgd,7.0,,
18,,liver,1,,0.0021349170477,,0.1865772109409,2.0,1,densenet,,relu,,24.0,0.187140063817,1,warmup,0.0004149261303,0.2501456888445,False,sgd,,densenet201,47.0
19,,liver,2,1.0,0.0029016014171,False,0.163789985765,,2,resnet,1.4211731162017,gelu,resnet34,,,5,warmup,0.0006888825194,0.0741319802665,,adam,5.0,,
20,,liver,1,1.0,0.0008542245916,False,0.1087425259251,,1,resnet,1.0648941626382,relu,resnet18,,,1,warmup,0.0001078945898,0.3256137411792,,sgd,5.0,,
21,,liver,1,,0.0007271739928,,0.1095068959882,2.0,3,densenet,,gelu,,22.0,0.189598766984,1,warmup,1.42896357e-05,0.0482713884841,False,adam,,densenet201,51.0
22,,liver,2,2.0,0.0016685781853,True,0.0734124403737,,1,resnet,1.6796379809765,leakyrelu,resnet50,,,3,warmup,0.0002447233203,0.1883840541888,,sgd,5.0,,
23,,liver,1,2.0,1.42170522e-05,False,0.0132901769728,,4,resnet,1.7916556920711,leakyrelu,resnet34,,,0,warmup,6.5199711e-06,0.3704466985865,,adamw,4.0,,
24,,liver,1,2.0,0.0001722384735,True,0.1439443829222,,3,resnet,1.243570221828,gelu,resnet50,,,2,warmup,0.0001334753499,0.1187241858927,,sgd,6.0,,
25,,liver,1,2.0,0.0007859326454,False,0.1700480916738,,3,resnet,1.661544482165,relu,resnet34,,,5,warmup,8.1614532e-05,0.3034894562313,,adam,4.0,,
26,,liver,1,,0.0013190224726,,0.16213940674,1.0,2,densenet,,relu,,25.0,0.0456515062792,2,cosine_warmup,0.0005556364531,0.2195885852418,True,adam,,densenet201,38.0
27,,liver,2,1.0,0.0061091569762,False,0.1377163777618,,1,resnet,1.9577657655067,gelu,resnet50,,,1,cosine_warmup,8.15370859e-05,0.2069770549108,,adam,4.0,,
28,,liver,2,2.0,0.0033294287723,False,0.1003075646747,,2,resnet,1.4433676081331,relu,resnet50,,,1,warmup,1.0247543e-06,0.3759631661511,,sgd,4.0,,
29,,liver,2,1.0,0.0015802217253,False,0.0733096213294,,3,resnet,1.3627496630147,relu,resnet34,,,2,cosine_warmup,3.9123831e-06,0.1207565257423,,sgd,7.0,,
30,,liver,1,2.0,5.18927612e-05,False,0.0893859103017,,3,resnet,1.1336468481227,leakyrelu,resnet50,,,3,warmup,4.06170839e-05,0.3793445917569,,sgd,7.0,,
31,,liver,2,,0.0001923108355,,0.0701643589412,2.0,1,densenet,,leakyrelu,,16.0,0.2565265716934,1,cosine_warmup,0.0009494606509,0.2423155118202,True,adamw,,densenet201,33.0
32,,liver,1,2.0,0.0014873545395,True,0.0525392380492,,2,resnet,1.6195251566049,relu,resnet18,,,0,warmup,0.0001193163442,0.298505771108,,adam,7.0,,
33,,liver,1,,0.0004494101117,,0.1292011913154,2.0,2,densenet,,gelu,,24.0,0.2590084664099,2,cosine_warmup,0.0008064503449,0.1331485560711,False,adamw,,densenet169,33.0
